,MREQ_Number,FFID,Date_and_Time_of_Request,Section,Order_Type,Item_Category,Item_Description,Quantity_Required,Unit,Unit_Price,Total_Cost,Category,Date_Required,Delivery_Location,Location_WBS,Activity_WBS,Current_Stage,Operational_Approval,Commercial_Approval,Buyer,Days_To_Delivery,Price_Unit_Lower_Bound_2SD,Price_Unit_Upper_Bound_2SD,Unit_Price_Annomaly
3,MREQ-5559-00362,5559,2018-08-23,Section 4,Material,Not on List,Not on List,30,Each,17.45,523.5,Plastic Drainage,2018-08-30,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,7.0,0.0,389.84692001342773,0
4,MREQ-21737-001025,21737,2019-08-02,Core,Material,Not on List,Not on List,1,Each,20000.0,20000.0,Office Supplies,2019-08-02,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,110 - Welfare Costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,0.0,0.0,35512.7958984375,0
5,MREQ-21712-001025,21712,2019-08-02,Section 4,Material,Not on List,Not on List,4,Roll,258.05,1032.2,Builders Merchants (General),2019-08-05,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4B - Roadworks - Robins Lane to Dry Drayton,504 - Drainage and Service Ducts in Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,3.0,0.0,1932.1958923339844,0
7,MREQ-21748-001025,21748,2019-08-02,Core,Material,Not on List,Not on List,1,Each,8750.0,8750.0,Training,2019-08-05,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,123 - Venue / Meeting Costs (Hotel Conf etc),Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,3.0,0.0,9148.03955078125,0
8,MREQ-21748-001025,21748,2019-08-02,Core,Material,Not on List,Not on List,1,Each,473.4,473.0,Training,2019-08-05,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,123 - Venue / Meeting Costs (Hotel Conf etc),Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,3.0,0.0,9148.03955078125,0
9,MREQ-5559-00362,5559,2018-08-23,Section 4,Material,Not on List,Not on List,20,Each,10.04,200.8,Plastic Drainage,2018-08-30,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,7.0,0.0,389.84692001342773,0
12,MREQ-5559-00362,5559,2018-08-23,Section 4,Material,Not on List,Not on List,12,Each,24.44,293.28,Plastic Drainage,2018-08-30,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,7.0,0.0,389.84692001342773,0
13,MREQ-5559-00362,5559,2018-08-23,Section 4,Material,Not on List,Not on List,10,Each,35.52,355.2,Plastic Drainage,2018-08-30,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers,7.0,0.0,389.84692001342773,0
14,MREQ-21746-001025,21746,2019-08-02,Section 3,Material,Concrete Drainage,CPM Chamber Ring 1200 x 250 D/S  (913115),2,Each,55.41,110.82,Concrete Drainage,2019-08-05,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers,3.0,29.334506273269653,52.54948878288269,1
15,MREQ-21782-001025,21782,2019-08-05,Core,Material,Not on List,Not on List,15,Box,75.0,1125.0,Miscellaneous,2019-08-14,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,115 - Medical / 1st Aid,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers,9.0,0.0,146.65716552734375,0
