,MREQ_Number,FFID,Date_and_Time_of_Request,Section,Order_Type,Item_Category,Item_Description,Quantity_Required,Unit,Unit_Price,Total_Cost,Category,Date_Required,Delivery_Location,Location_WBS,Activity_WBS,Current_Stage,Operational_Approval,Commercial_Approval,Buyer
0,MREQ-4915-001,4915,2018-08-10 09:54:48,Section 3,Material,Aggregate,,20,Tonnes,16,320,Aggregate,2018-08-31 00:00:00,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3A - Roadworks,1104 - Footways and Paved Areas,Operations Rejected,No - Reject,,REQ - Section 3 Buyers
1,MREQ-4996-0010,4996,2018-08-13 15:32:33,Section 3,Material,Not on List,,20,no,,0,,2018-08-17 00:00:00,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,PLM3 - Site Preliminaries,153a - Temporary Works - Site Infrastructure,Operations Rejected,No - Reject,,REQ - Section 3 Buyers
2,MREQ-5137-0058,5137,2018-08-15 10:54:35,Section 3,Material,Plastic Drainage,Rigidrain P/E 150Mm Dia Incl Coup/Sealia,36,no,10.5,378,Plastic Drainage,2018-08-28 00:00:00,Gate C - 1339698 - BN07 (Offord Rd) via Logistics Yard Access,SC3A - Roadworks,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
3,MREQ-5559-00362,5559,2018-08-23 08:47:16,Section 4,Material,Not on List,Not on List,30,Each,17.45,523.5,Plastic Drainage,2018-08-30 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
4,MREQ-21737-001025,21737,2019-08-02 14:57:39,Core,Material,Not on List,Not on List,1,No.,20000,20000,Office Supplies,2019-08-02 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,110 - Welfare Costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
5,MREQ-21712-001025,21712,2019-08-02 08:01:13,Section 4,Material,Not on List,Not on List,4,rolls,258.05,1032.2,Builders Merchants (General),2019-08-05 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4B - Roadworks - Robins Lane to Dry Drayton,504 - Drainage and Service Ducts in Structures,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
6,MREQ-21741-001025,21741,2019-08-02 15:18:51,Core,Material,"PPE, Small Tools and Consumables",Not on List,1,,,0,Laboratory Equipment / Certification,2019-08-02 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,120 - Small Tools (hand),Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
7,MREQ-21748-001025,21748,2019-08-02 15:45:04,Core,Material,Not on List,Not on List,1,ea,8750,8750,Training,2019-08-05 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,123 - Venue / Meeting Costs (Hotel Conf etc),Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
8,MREQ-21748-001025,21748,2019-08-02 15:45:04,Core,Material,Not on List,Not on List,1,ea,473.4,473,Training,2019-08-05 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,123 - Venue / Meeting Costs (Hotel Conf etc),Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
9,MREQ-5559-00362,5559,2018-08-23 08:47:16,Section 4,Material,Not on List,Not on List,20,Each,10.04,200.8,Plastic Drainage,2018-08-30 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
10,MREQ-21755-001025,21755,2019-08-02 16:38:37,Section 2,Material,"PPE, Small Tools and Consumables",Not on List,29,,,0,Small Tools (Consumables),2019-08-07 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,GN2B - Gantry structures,1802 - Miscellaneous Metalwork,Stores - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
11,MREQ-21719-001025,21719,2019-08-02 10:01:19,Section 5,Material,Not on List,,1,SM,1779.84,1779.84,Builders Merchants (General),,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,504 - Drainage and Service Ducts in Structures,Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
12,MREQ-5559-00362,5559,2018-08-23 08:47:16,Section 4,Material,Not on List,Not on List,12,Each,24.44,293.28,Plastic Drainage,2018-08-30 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
13,MREQ-5559-00362,5559,2018-08-23 08:47:16,Section 4,Material,Not on List,Not on List,10,Each,35.52,355.2,Plastic Drainage,2018-08-30 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
14,MREQ-21746-001025,21746,2019-08-02 15:34:00,Section 3,Material,Concrete Drainage,CPM Chamber Ring 1200 x 250 D/S  (913115),2,Each,55.41,110.82,Concrete Drainage,2019-08-05 00:00:00,Gate C - 1339697 - Access to BN06-07-08-09 Via Logistics Yard,SC3B - Roadworks,502 - Chambers & Gullies,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
15,MREQ-21782-001025,21782,2019-08-05 08:09:58,Core,Material,Not on List,Not on List,15,Boxes,75,1125,Miscellaneous,2019-08-14 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,115 - Medical / 1st Aid,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
16,MREQ-21782-001025,21782,2019-08-05 08:09:58,Core,Material,Not on List,Not on List,4,Packs,36,144,Miscellaneous,2019-08-14 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,115 - Medical / 1st Aid,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
17,MREQ-21782-001025,21782,2019-08-05 08:09:58,Core,Material,Not on List,Not on List,35,Packs,118.75,4156,Miscellaneous,2019-08-14 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,115 - Medical / 1st Aid,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
18,MREQ-21782-001025,21782,2019-08-05 08:09:58,Core,Material,Not on List,Not on List,2,Sets,395,790,Miscellaneous,2019-08-14 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),WAOC - Working Areas overhead Costs,115 - Medical / 1st Aid,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
19,MREQ-21786-001025,21786,2019-08-05 13:13:49,Section 2,Material,"PPE, Small Tools and Consumables",Not on List,1,,105.91,106,Miscellaneous,2019-08-12 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton,PLM2 - Site Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
20,MREQ-20693-001025,20693,2019-07-12 14:13:59,Core,Material,Not on List,Not on List,1,each,115668.7,115668.7,Miscellaneous,2019-07-12 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),PRLM - Preliminaries,104 - Site Transport,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
21,MREQ-5559-00362,5559,2018-08-23 08:47:16,Section 4,Material,Not on List,Not on List,40,Each,42.1,1684,Plastic Drainage,2018-08-30 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
22,MREQ-21817-001025,21817,2019-08-06 07:00:19,Section 4,Material,Not on List,Not on List,144,,6.29,906,Small Tools (Consumables),2019-08-07 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,102 - Compound running costs,Request - Ops Pass Back,No - Pass Back,,REQ - Section 4 Buyers
23,MREQ-20236-001025,20236,2019-07-04 11:31:50,Core,Material,,,,,,0,,,,,,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
24,MREQ-21825-001025,21825,2019-08-06 08:41:42,Core,Material,"PPE, Small Tools and Consumables",Not on List,2,Each,,0,PPE,2019-09-01 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton (Core),WAOC - Working Areas overhead Costs,109 - PPE Costs,Operational Approval,,,REQ - Buyers
25,MREQ-21827-001025,21827,2019-08-06 08:23:51,Core,Material,Not on List,Not on List,1,Each,,0,Miscellaneous,2019-08-06 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),PRLM - Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
26,MREQ-21827-001025,21827,2019-08-06 08:23:51,Core,Material,Not on List,Not on List,1,Each,,0,Miscellaneous,2019-08-06 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound (Core),PRLM - Preliminaries,102 - Compound running costs,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
27,MREQ-21790-001025,21790,2019-08-05 13:31:37,Core,Material,,,,,,0,,,,,,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
28,MREQ-5559-00362,5559,2018-08-23 08:47:16,Section 4,Material,Not on List,Not on List,26,Each,29.25,760.5,Plastic Drainage,2018-08-30 00:00:00,RVP 401A - 1339583 -Swavesey South Compound A14 J28 Westbound,SC4A - Roadworks - Swavesey to Robins Lane,501 - Drains,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
29,MREQ-21798-001025,21798,2019-08-05 15:01:49,Core,Material,,,1,Each,4116,4116,,,,,,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Buyers
30,MREQ-21839-001025,21839,2019-08-06 11:18:13,Core,Material,"PPE, Small Tools and Consumables",Not on List,2,each,,0,PPE,2019-09-01 00:00:00,Main Compound - 1339608 - Buckden Rd PE19 5UH Brampton (Core),WAOC - Working Areas overhead Costs,109 - PPE Costs,Operational Approval,,,REQ - Buyers
31,MREQ-21842-001025,21842,2019-08-06 11:46:16,Section 4,Material,Not on List,Not on List,1,,,0,Miscellaneous,2019-08-07 00:00:00,Main Compound RVP 401 - 1333676 - Swavesey Main Compound A14 J28 Westbound,PLM4 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
32,MREQ-5564-00390,5564,2018-08-23 11:30:13,Section 4,Material,Not on List,Not on List,75,bags,11.43,857.25,Miscellaneous,2018-10-22 00:00:00,RVP 404 - 1339622 - Robin's Lane A14 Eastbound,BN19 - Robins Lane Bridge,2302 - Sealing of gaps,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 4 Buyers
33,MREQ-21846-001025,21846,2019-08-06 12:08:38,Section 3,Material,Not on List,Not on List,1,,,0,Miscellaneous,2019-08-07 00:00:00,Main Compound Gate D - 1339642 - Main Compound Entrance A1198,PLM3 - Site Preliminaries,152 - Attendant / General Plant,Buyer - Closed,Yes - Approve,Yes - Approve,REQ - Section 3 Buyers
34,MREQ-21852-001025,21852,2019-08-06 12:24:11,Section 5,Material,Not on List,Not on List,1,,,0,Miscellaneous,2019-08-07 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",PLM5 - Site Preliminaries,152 - Attendant / General Plant,Stores - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
35,MREQ-21339-001025,21339,2019-07-25 12:35:43,Section 5,Material,Bagged,Building Sand Bulk Bag (938155),10,Each,33.5,335,Builders Merchants (General),2019-08-02 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
36,MREQ-21339-001025,21339,2019-07-25 12:35:43,Section 5,Material,Bagged,OP Cement Multicem Plastic Bag 25kg (210768),40,Each,2.97,118.8,Builders Merchants (General),2019-08-02 00:00:00,"1358003 - Main Compound, Gate 1 - 1344810 - Cambridge Rd, Milton, Cambridge, CB24 6AZ",SEC5 - Roadworks,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S5 Buyers
37,MREQ-21774-001025,21774,2019-08-05 07:40:57,Section 2,Material,Kerbs,Not on List,140,number,,0,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-08-07 00:00:00,"Gate N/B1 - 1339610 - Access to Processing Plant & Precast Yard, A1 Northbound",SC2B - Roadworks - A14,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
38,MREQ-21774-001025,21774,2019-08-05 07:40:57,Section 2,Material,Kerbs,Concrete Kerbs 125x255 - 150x125 Sply - BN Drop L/H (898584),5,Each,11.94,59.7,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-08-07 00:00:00,"Gate N/B1 - 1339610 - Access to Processing Plant & Precast Yard, A1 Northbound",SC2B - Roadworks - A14,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
39,MREQ-21774-001025,21774,2019-08-05 07:40:57,Section 2,Material,Kerbs,Concrete Kerbs 125x255 - 150x125 Sply - BN Drop R/H (899183),5,Each,11.94,59.7,"Concrete Hard Landscaping (Kerbs, Slabs)",2019-08-07 00:00:00,"Gate N/B1 - 1339610 - Access to Processing Plant & Precast Yard, A1 Northbound",SC2B - Roadworks - A14,"1101 - Kerbs, Channels and Edgings",Buyer - Closed,Yes - Approve,Yes - Approve,Req - S2 Buyers
